complete.dyad	id	child.adult	sex	box	rando.order	trial	model	comb.detail 	comb.sum	action 	side	time.aoi	time.screen
1	3	1	0	1	1	1	Hanna	R1-PI1		R1	1	269	269
1	3	1	0	1	1	1	Hanna	R1-PI1		PI1	2	0	269
1	3	1	0	1	1	2	Trinh	NC1-R2		NC1	1	85	203
1	3	1	0	1	1	2	Trinh	NC1-R2		R2	2	118	203
1	3	1	0	1	1	3	Hanna	PI2-NC2		NC2	1	97	201
1	3	1	0	1	1	3	Hanna	PI2-NC2		PI2	2	104	201
1	3	1	0	1	1	4	Anna	NC1-PI2		PI2	1	154	210
1	3	1	0	1	1	4	Anna	NC1-PI2		NC1	2	56	210
1	3	1	0	1	1	5	Hanna	NC1-NC2		NC2	1	95	173
1	3	1	0	1	1	5	Hanna	NC1-NC2		NC1	2	78	173
1	3	1	0	1	1	6	Anna	PI1-NC2		PI1	1	41	234
1	3	1	0	1	1	6	Anna	PI1-NC2		NC2	2	188	234
1	3	1	0	1	1	7	Han	PI1-NC1		PI1	1	30	224
1	3	1	0	1	1	7	Han	PI1-NC1		NC1	2	194	224
1	3	1	0	1	1	8	Anna	PI1-NC2		NC2	1	51	134
1	3	1	0	1	1	8	Anna	PI1-NC2		PI1	2	83	134
1	3	1	0	1	1	9	Han	R1-NC1		NC1	1	0	235
1	3	1	0	1	1	9	Han	R1-NC1		R1	2	235	235
1	3	1	0	1	1	10	Anna	R1-PI2		PI2	1	49	132
1	3	1	0	1	1	10	Anna	R1-PI2		R1	2	83	132
1	3	1	0	1	1	11	Han	R1-NC1		R1	1	152	234
1	3	1	0	1	1	11	Han	R1-NC1		NC1	2	82	234
1	3	1	0	1	1	12	Anna	R1-PI2		R1	1	13	129
1	3	1	0	1	1	12	Anna	R1-PI2		PI2	2	111	129
1	3	1	0	1	1	13	Trinh	R1-R2		R1	1	220	237
1	3	1	0	1	1	13	Trinh	R1-R2		R2	2	11	237
1	3	1	0	1	1	14	Han	R2-PI2		R2	1	73	227
1	3	1	0	1	1	14	Han	R2-PI2		PI2	2	153	227
1	3	1	0	1	1	15	Trinh	R1-R2		R2	1	215	215
1	3	1	0	1	1	15	Trinh	R1-R2		R1	2	0	215
1	3	1	0	1	1	16	Anna	NC1-PI2		NC1	1	9	46
1	3	1	0	1	1	16	Anna	NC1-PI2		PI2	2	37	46
1	3	1	0	1	1	17	Trinh	PI1-R2		PI1	1	0	212
1	3	1	0	1	1	17	Trinh	PI1-R2		R2	2	212	212
1	3	1	0	1	1	18	Hanna	NC1-NC2		NC2	1	48	221
1	3	1	0	1	1	18	Hanna	NC1-NC2		NC1	2	173	221
1	3	1	0	1	1	19	Han	PI1-PI2		PI2	1	32	132
1	3	1	0	1	1	19	Han	PI1-PI2		PI1	2	100	132
1	3	1	0	1	1	20	Hanna	R1-PI1		PI1	1	27	235
1	3	1	0	1	1	20	Hanna	R1-PI1		R1	2	208	235
1	3	1	0	1	1	21	Han	R2-PI2		PI2	1	188	224
1	3	1	0	1	1	21	Han	R2-PI2		R2	2	35	224
1	3	1	0	1	1	22	Hanna	R2-NC2		NC2	1	10	233
1	3	1	0	1	1	22	Hanna	R2-NC2		R2	2	219	233
1	3	1	0	1	1	23	Anna	R1-NC2		NC2	1	15	235
1	3	1	0	1	1	23	Anna	R1-NC2		R1	2	220	235
1	3	1	0	1	1	24	Han	PI1-NC1		NC1	1	45	228
1	3	1	0	1	1	24	Han	PI1-NC1		PI1	2	183	228
1	3	1	0	1	1	25	Hanna	PI2-NC2		PI2	1	103	224
1	3	1	0	1	1	25	Hanna	PI2-NC2		NC2	2	121	224
1	3	1	0	1	1	26	Trinh	PI1-R2		R2	1	215	233
1	3	1	0	1	1	26	Trinh	PI1-R2		PI1	2	18	233
1	3	1	0	1	1	27	Trinh	NC1-R2		R2	1	236	236
1	3	1	0	1	1	27	Trinh	NC1-R2		NC1	2	0	236
1	3	1	0	1	1	28	Han	PI1-PI2		PI1	1	148	203
1	3	1	0	1	1	28	Han	PI1-PI2		PI2	2	55	203
1	3	1	0	1	1	29	Anna	R1-NC2		R1	1	218	239
1	3	1	0	1	1	29	Anna	R1-NC2		NC2	2	21	239
1	3	1	0	1	1	30	Hanna	R2-NC2		NC2	1	137	233
1	3	1	0	1	1	30	Hanna	R2-NC2		R2	2	96	233
1	3	1	0	2	1	1	Bernie	R1-PI1		PI1	1	0	243
1	3	1	0	2	1	1	Bernie	R1-PI1		R1	2	243	243
1	3	1	0	2	1	2	Anna	NC1-R2		R2	1	48	227
1	3	1	0	2	1	2	Anna	NC1-R2		NC1	2	179	227
1	3	1	0	2	1	3	Han	PI2-NC2		NC2	1	0	237
1	3	1	0	2	1	3	Han	PI2-NC2		PI2	2	237	237
1	3	1	0	2	1	4	Bernie	NC1-R2		NC1	1	0	234
1	3	1	0	2	1	4	Bernie	NC1-R2		R2	2	234	234
1	3	1	0	2	1	5	Han	NC1-NC2		NC1	1	105	234
1	3	1	0	2	1	5	Han	NC1-NC2		NC2	2	129	234
1	3	1	0	2	1	6	Trinh	R1-R2		R2	1	89	239
1	3	1	0	2	1	6	Trinh	R1-R2		R1	2	150	239
1	3	1	0	2	1	7	Hanna	PI1-NC2		PI1	1	44	207
1	3	1	0	2	1	7	Hanna	PI1-NC2		NC2	2	163	207
1	3	1	0	2	1	8	Bernie	R1-PI1		R1	1	129	213
1	3	1	0	2	1	8	Bernie	R1-PI1		PI1	2	84	213
1	3	1	0	2	1	9	Hanna	PI1-NC2		NC2	1	2	217
1	3	1	0	2	1	9	Hanna	PI1-NC2		PI1	2	215	217
1	3	1	0	2	1	10	Anna	R1-NC1		NC1	1	6	241
1	3	1	0	2	1	10	Anna	R1-NC1		R1	2	229	241
1	3	1	0	2	1	11	Han	PI1-PI2		PI2	1	123	232
1	3	1	0	2	1	11	Han	PI1-PI2		PI1	2	109	232
1	3	1	0	2	1	12	Anna	PI1-R2		PI1	1	0	231
1	3	1	0	2	1	12	Anna	PI1-R2		R2	2	231	231
1	3	1	0	2	1	13	Hanna	R1-PI2		PI2	1	0	216
1	3	1	0	2	1	13	Hanna	R1-PI2		R1	2	216	216
1	3	1	0	2	1	14	Anna	R1-NC1		R1	1	113	200
1	3	1	0	2	1	14	Anna	R1-NC1		NC1	2	87	200
1	3	1	0	2	1	15	Hanna	R1-PI2		R1	1	103	232
1	3	1	0	2	1	15	Hanna	R1-PI2		PI2	2	126	232
1	3	1	0	2	1	16	Trinh	R1-R2		R1	1	174	230
1	3	1	0	2	1	16	Trinh	R1-R2		R2	2	56	230
1	3	1	0	2	1	17	Bernie	NC1-R2		R2	1	91	223
1	3	1	0	2	1	17	Bernie	NC1-R2		NC1	2	132	223
1	3	1	0	2	1	18	Anna	NC1-R2		NC1	1	0	235
1	3	1	0	2	1	18	Anna	NC1-R2		R2	2	235	235
1	3	1	0	2	1	19	Hanna	R2-NC2		NC2	1	0	217
1	3	1	0	2	1	19	Hanna	R2-NC2		R2	2	217	217
1	3	1	0	2	1	20	Han	PI1-PI2		PI1	1	56	227
1	3	1	0	2	1	20	Han	PI1-PI2		PI2	2	171	227
1	3	1	0	2	1	21	Bernie	PI1-NC1		NC1	1	113	233
1	3	1	0	2	1	21	Bernie	PI1-NC1		PI1	2	120	233
1	3	1	0	2	1	22	Trinh	R2-PI2		PI2	1	0	235
1	3	1	0	2	1	22	Trinh	R2-PI2		R2	2	235	235
1	3	1	0	2	1	23	Hanna	R2-NC2		R2	1	205	229
1	3	1	0	2	1	23	Hanna	R2-NC2		NC2	2	24	229
1	3	1	0	2	1	24	Trinh	R1-NC2		NC2	1	0	89
1	3	1	0	2	1	24	Trinh	R1-NC2		R1	2	89	89
1	3	1	0	2	1	25	Bernie	PI1-NC1		PI1	1	115	229
1	3	1	0	2	1	25	Bernie	PI1-NC1		NC1	2	114	229
1	3	1	0	2	1	26	Han	PI2-NC2		PI2	1	153	215
1	3	1	0	2	1	26	Han	PI2-NC2		NC2	2	62	215
1	3	1	0	2	1	27	Trinh	R1-NC2		NC2	1	0	87
1	3	1	0	2	1	27	Trinh	R1-NC2		R1	2	87	87
1	3	1	0	2	1	28	Han	NC1-NC2		NC2	1	44	229
1	3	1	0	2	1	28	Han	NC1-NC2		NC1	2	185	229
1	3	1	0	2	1	29	Anna	PI1-R2		R2	1	0	233
1	3	1	0	2	1	29	Anna	PI1-R2		PI1	2	233	233
1	3	1	0	2	1	30	Trinh	R2-PI2		R2	1	108	208
1	3	1	0	2	1	30	Trinh	R2-PI2		PI2	2	100	208
1	3	1	0	3	1	1	Anna	R1-PI1		PI1	1	105	177
1	3	1	0	3	1	1	Anna	R1-PI1		R1	2	72	177
1	3	1	0	3	1	2	Trinh	NC1-R2		R2	1	146	146
1	3	1	0	3	1	2	Trinh	NC1-R2		NC1	2	0	146
1	3	1	0	3	1	3	Bernie	NC1-PI2		PI2	1	90	143
1	3	1	0	3	1	3	Bernie	NC1-PI2		NC1	2	53	143
1	3	1	0	3	1	4	Anna	NC1-NC2		NC1	1	7	142
1	3	1	0	3	1	4	Anna	NC1-NC2		NC2	2	135	142
1	3	1	0	3	1	5	Han	PI1-NC2		NC2	1	0	215
1	3	1	0	3	1	5	Han	PI1-NC2		PI1	2	215	215
1	3	1	0	3	1	6	Bernie	R2-PI2		PI2	1	16	225
1	3	1	0	3	1	6	Bernie	R2-PI2		R2	2	209	225
1	3	1	0	3	1	7	Anna	R1-PI1		R1	1	146	202
1	3	1	0	3	1	7	Anna	R1-PI1		PI1	2	56	202
1	3	1	0	3	1	8	Han	PI1-NC2		PI1	1	100	125
1	3	1	0	3	1	8	Han	PI1-NC2		NC2	2	22	125
1	3	1	0	3	1	9	Trinh	R1-NC1		NC1	1	0	165
1	3	1	0	3	1	9	Trinh	R1-NC1		R1	2	165	165
1	3	1	0	3	1	10	Bernie	NC1-PI2		NC1	1	56	70
1	3	1	0	3	1	10	Bernie	NC1-PI2		PI2	2	14	70
1	3	1	0	3	1	11	Hanna	PI1-PI2		PI2	1	19	133
1	3	1	0	3	1	11	Hanna	PI1-PI2		PI1	2	114	133
1	3	1	0	3	1	12	Bernie	R1-PI2		R1	1	216	216
1	3	1	0	3	1	12	Bernie	R1-PI2		PI2	2	0	216
1	3	1	0	3	1	13	Trinh	R1-NC1		R1	1	53	150
1	3	1	0	3	1	13	Trinh	R1-NC1		NC1	2	97	150
1	3	1	0	3	1	14	Bernie	R1-R2		R1	1	62	218
1	3	1	0	3	1	14	Bernie	R1-R2		R2	2	156	218
1	3	1	0	3	1	15	Trinh	NC1-R2		NC1	1	37	200
1	3	1	0	3	1	15	Trinh	NC1-R2		R2	2	160	200
1	3	1	0	3	1	16	Han	R2-NC2		R2	1	75	203
1	3	1	0	3	1	16	Han	R2-NC2		NC2	2	128	203
1	3	1	0	3	1	17	Bernie	PI1-R2		PI1	1	3	8
1	3	1	0	3	1	17	Bernie	PI1-R2		R2	2	4	8
1	3	1	0	3	1	18	Anna	NC1-NC2		NC2	1	133	219
1	3	1	0	3	1	18	Anna	NC1-NC2		NC1	2	86	219
1	3	1	0	3	1	19	Hanna	PI1-PI2		PI1	1	123	237
1	3	1	0	3	1	19	Hanna	PI1-PI2		PI2	2	113	237
1	3	1	0	3	1	20	Bernie	R2-PI2		R2	1	91	192
1	3	1	0	3	1	20	Bernie	R2-PI2		PI2	2	101	192
1	3	1	0	3	1	21	Trinh	PI2-NC2		NC2	1	90	226
1	3	1	0	3	1	21	Trinh	PI2-NC2		PI2	2	136	226
1	3	1	0	3	1	22	Bernie	R1-R2		R2	1	34	231
1	3	1	0	3	1	22	Bernie	R1-R2		R1	2	197	231
1	3	1	0	3	1	23	Han	R2-NC2		NC2	1	4	238
1	3	1	0	3	1	23	Han	R2-NC2		R2	2	221	238
1	3	1	0	3	1	24	Bernie	PI1-R2		R2	1	164	229
1	3	1	0	3	1	24	Bernie	PI1-R2		PI1	2	65	229
1	3	1	0	3	1	25	Hanna	R1-NC2		NC2	1	92	222
1	3	1	0	3	1	25	Hanna	R1-NC2		R1	2	119	222
1	3	1	0	3	1	26	Bernie	PI1-NC1		NC1	1	40	221
1	3	1	0	3	1	26	Bernie	PI1-NC1		PI1	2	176	221
1	3	1	0	3	1	27	Trinh	PI2-NC2		PI2	1	85	226
1	3	1	0	3	1	27	Trinh	PI2-NC2		NC2	2	141	226
1	3	1	0	3	1	28	Bernie	R1-PI2		PI2	1	15	237
1	3	1	0	3	1	28	Bernie	R1-PI2		R1	2	222	237
1	3	1	0	3	1	29	Hanna	R1-NC2		R1	1	128	216
1	3	1	0	3	1	29	Hanna	R1-NC2		NC2	2	85	216
1	3	1	0	3	1	30	Bernie	PI1-NC1		PI1	1	106	236
1	3	1	0	3	1	30	Bernie	PI1-NC1		NC1	2	130	236
1	3	2	0	1	1	1	Hanna	R1-PI1		R1	1	90	232
1	3	2	0	1	1	1	Hanna	R1-PI1		PI1	2	142	232
1	3	2	0	1	1	2	Trinh	NC1-R2		NC1	1	9	241
1	3	2	0	1	1	2	Trinh	NC1-R2		R2	2	232	241
1	3	2	0	1	1	3	Hanna	PI2-NC2		NC2	1	66	227
1	3	2	0	1	1	3	Hanna	PI2-NC2		PI2	2	161	227
1	3	2	0	1	1	4	Anna	NC1-PI2		PI2	1	72	237
1	3	2	0	1	1	4	Anna	NC1-PI2		NC1	2	165	237
1	3	2	0	1	1	5	Hanna	NC1-NC2		NC2	1	0	237
1	3	2	0	1	1	5	Hanna	NC1-NC2		NC1	2	237	237
1	3	2	0	1	1	6	Anna	PI1-NC2		PI1	1	72	223
1	3	2	0	1	1	6	Anna	PI1-NC2		NC2	2	151	223
1	3	2	0	1	1	7	Han	PI1-NC1		PI1	1	48	225
1	3	2	0	1	1	7	Han	PI1-NC1		NC1	2	177	225
1	3	2	0	1	1	8	Anna	PI1-NC2		NC2	1	35	232
1	3	2	0	1	1	8	Anna	PI1-NC2		PI1	2	197	232
1	3	2	0	1	1	9	Han	R1-NC1		NC1	1	68	229
1	3	2	0	1	1	9	Han	R1-NC1		R1	2	161	229
1	3	2	0	1	1	10	Anna	R1-PI2		PI2	1	44	169
1	3	2	0	1	1	10	Anna	R1-PI2		R1	2	125	169
1	3	2	0	1	1	11	Han	R1-NC1		R1	1	165	234
1	3	2	0	1	1	11	Han	R1-NC1		NC1	2	69	234
1	3	2	0	1	1	12	Anna	R1-PI2		R1	1	39	230
1	3	2	0	1	1	12	Anna	R1-PI2		PI2	2	191	230
1	3	2	0	1	1	13	Trinh	R1-R2		R1	1	0	243
1	3	2	0	1	1	13	Trinh	R1-R2		R2	2	243	243
1	3	2	0	1	1	14	Han	R2-PI2		R2	1	173	220
1	3	2	0	1	1	14	Han	R2-PI2		PI2	2	47	220
1	3	2	0	1	1	15	Trinh	R1-R2		R2	1	75	226
1	3	2	0	1	1	15	Trinh	R1-R2		R1	2	151	226
1	3	2	0	1	1	16	Anna	NC1-PI2		NC1	1	51	222
1	3	2	0	1	1	16	Anna	NC1-PI2		PI2	2	171	222
1	3	2	0	1	1	17	Trinh	PI1-R2		PI1	1	89	229
1	3	2	0	1	1	17	Trinh	PI1-R2		R2	2	137	229
1	3	2	0	1	1	18	Hanna	NC1-NC2		NC2	1	61	235
1	3	2	0	1	1	18	Hanna	NC1-NC2		NC1	2	174	235
1	3	2	0	1	1	19	Han	PI1-PI2		PI2	1	0	239
1	3	2	0	1	1	19	Han	PI1-PI2		PI1	2	239	239
1	3	2	0	1	1	20	Hanna	R1-PI1		PI1	1	21	234
1	3	2	0	1	1	20	Hanna	R1-PI1		R1	2	213	234
1	3	2	0	1	1	21	Han	R2-PI2		PI2	1	0	243
1	3	2	0	1	1	21	Han	R2-PI2		R2	2	243	243
1	3	2	0	1	1	22	Hanna	R2-NC2		NC2	1	0	237
1	3	2	0	1	1	22	Hanna	R2-NC2		R2	2	237	237
1	3	2	0	1	1	23	Anna	R1-NC2		NC2	1	0	241
1	3	2	0	1	1	23	Anna	R1-NC2		R1	2	241	241
1	3	2	0	1	1	24	Han	PI1-NC1		NC1	1	137	233
1	3	2	0	1	1	24	Han	PI1-NC1		PI1	2	96	233
1	3	2	0	1	1	25	Hanna	PI2-NC2		PI2	1	162	233
1	3	2	0	1	1	25	Hanna	PI2-NC2		NC2	2	69	233
1	3	2	0	1	1	26	Trinh	PI1-R2		R2	1	195	230
1	3	2	0	1	1	26	Trinh	PI1-R2		PI1	2	35	230
1	3	2	0	1	1	27	Trinh	NC1-R2		R2	1	149	218
1	3	2	0	1	1	27	Trinh	NC1-R2		NC1	2	66	218
1	3	2	0	1	1	28	Han	PI1-PI2		PI1	1	56	224
1	3	2	0	1	1	28	Han	PI1-PI2		PI2	2	168	224
1	3	2	0	1	1	29	Anna	R1-NC2		R1	1	186	233
1	3	2	0	1	1	29	Anna	R1-NC2		NC2	2	47	233
1	3	2	0	1	1	30	Hanna	R2-NC2		NC2	1	30	237
1	3	2	0	1	1	30	Hanna	R2-NC2		R2	2	207	237
1	3	2	0	2	1	1	Bernie	R1-PI1		PI1	1	0	230
1	3	2	0	2	1	1	Bernie	R1-PI1		R1	2	230	230
