id	single.id	child.adult	sex	box	rando.order	trial	model	comb.detail	comb.sum	comb.sumsum	time.screen	aoi.prop	trial.per.condition	trial.overall
1	3	3.1	1	0	1	1	1	Hanna	R1-PI1	PI-R	PI-R	269	1	1	1
3	3	3.1	1	0	1	1	2	Trinh	NC1-R2	NC-R	NC-R	203	0.58128078817734	1	2
5	3	3.1	1	0	1	1	3	Hanna	PI2-NC2	NC-PI	NC-PI	201	0.517412935323383	1	3
7	3	3.1	1	0	1	1	4	Anna	NC1-PI2	NC-PI	NC-PI	210	0.733333333333333	2	4
9	3	3.1	1	0	1	1	5	Hanna	NC1-NC2	NC-NC	Same	173	0.549132947976879	1	5
11	3	3.1	1	0	1	1	6	Anna	PI1-NC2	NC-PI	NC-PI	234	0.179039301310044	3	6
13	3	3.1	1	0	1	1	7	Han	PI1-NC1	NC-PI	NC-PI	224	0.133928571428571	4	7
15	3	3.1	1	0	1	1	8	Anna	PI1-NC2	NC-PI	NC-PI	134	0.619402985074627	5	8
17	3	3.1	1	0	1	1	9	Han	R1-NC1	NC-R	NC-R	235	1	2	9
19	3	3.1	1	0	1	1	10	Anna	R1-PI2	PI-R	PI-R	132	0.628787878787879	2	10
21	3	3.1	1	0	1	1	11	Han	R1-NC1	NC-R	NC-R	234	0.64957264957265	3	11
23	3	3.1	1	0	1	1	12	Anna	R1-PI2	PI-R	PI-R	129	0.104838709677419	3	12
25	3	3.1	1	0	1	1	13	Trinh	R1-R2	R-R	Same	237	0.0476190476190476	2	13
27	3	3.1	1	0	1	1	14	Han	R2-PI2	PI-R	PI-R	227	0.323008849557522	4	14
29	3	3.1	1	0	1	1	15	Trinh	R1-R2	R-R	Same	215	1	3	15
31	3	3.1	1	0	1	1	16	Anna	NC1-PI2	NC-PI	NC-PI	46	0.804347826086957	6	16
33	3	3.1	1	0	1	1	17	Trinh	PI1-R2	PI-R	PI-R	212	1	5	17
35	3	3.1	1	0	1	1	18	Hanna	NC1-NC2	NC-NC	Same	221	0.217194570135747	4	18
37	3	3.1	1	0	1	1	19	Han	PI1-PI2	PI-PI	Same	132	0.242424242424242	5	19
39	3	3.1	1	0	1	1	20	Hanna	R1-PI1	PI-R	PI-R	235	0.885106382978723	6	20
41	3	3.1	1	0	1	1	21	Han	R2-PI2	PI-R	PI-R	224	0.15695067264574	7	21
43	3	3.1	1	0	1	1	22	Hanna	R2-NC2	NC-R	NC-R	233	0.956331877729258	4	22
