time	a	b
29	310	560
0	310	560
0	956	1207
0	956	1207
0	1713	1960
1	1713	1960
24	2827	3077
0	2827	3077
138	3477	3732
29	3477	3732
84	4134	4382
72	4134	4382
80	4776	5025
0	4776	5025
135	5542	5792
17	5542	5792
32	6220	6470
4	6220	6470
18	6872	7120
132	6872	7120
123	7550	7800
48	7550	7800
158	8227	8477
0	8227	8477
5	9388	9638
174	9388	9638
0	10029	10277
239	10029	10277
145	10665	10915
70	10665	10915
85	11307	11562
32	11307	11562
50	11966	12216
87	11966	12216
83	12750	12999
82	12750	12999
61	13408	13658
96	13408	13658
95	14051	14300
12	14051	14300
67	14819	15069
85	14819	15069
63	15509	15758
73	15509	15758
115	16218	16468
55	16218	16468
35	16851	17101
48	16851	17101
15	17481	17732
176	17481	17732
17	18132	18382
93	18132	18382
0	19052	19303
0	19052	19303
28	19698	19893
0	19698	19893
120	20528	20778
24	20528	20778
26	21184	21432
127	21184	21432
86	296	544
73	296	544
233	942	1197
0	942	1197
0	1578	1829
19	1578	1829
62	2295	2544
155	2295	2544
190	2930	3181
28	2930	3181
167	3564	3815
0	3564	3815
21	4241	4489
21	4241	4489
0	5123	5380
0	5123	5380
0	5829	6086
0	5829	6086
0	6429	6685
0	6429	6685
6	7170	7417
143	7170	7417
0	7809	8063
0	7809	8063
155	9287	9537
75	9287	9537
9	10592	10840
161	10592	10840
36	11219	11332
13	11219	11332
0	12562	12813
0	12562	12813
42	13209	13458
96	13209	13458
0	13905	14154
0	13905	14154
121	14591	14840
6	14591	14840
53	15190	15446
17	15190	15446
14	15860	16109
70	15860	16109
38	16511	16765
0	16511	16765
0	17192	17442
0	17192	17442
47	17847	18096
0	17847	18096
71	18507	18757
62	18507	18757
0	19291	19542
0	19291	19542
50	20288	20539
40	20288	20539
0	21207	21458
0	21207	21458
203	22013	22262
1	22013	22262
0	22665	22921
0	22665	22921
27	409	660
49	409	660
13	1038	1289
40	1038	1289
4	1723	1973
151	1723	1973
169	2375	2624
24	2375	2624
38	3328	3578
26	3328	3578
19	4004	4254
150	4004	4254
0	4635	4883
33	4635	4883
60	5280	5529
9	5280	5529
82	6010	6260
32	6010	6260
164	6653	6903
0	6653	6903
16	7286	7535
191	7286	7535
8	8001	8250
99	8001	8250
9	8652	8903
3	8652	8903
11	9284	9533
0	9284	9533
0	9980	10231
33	9980	10231
0	10645	10895
0	10645	10895
75	11868	12117
0	11868	12117
18	12523	12773
14	12523	12773
29	13152	13402
0	13152	13402
43	14852	15102
36	14852	15102
0	15507	15757
66	15507	15757
73	16219	16469
110	16219	16469
110	17005	17190
17	17005	17190
70	17572	17822
67	17572	17822
0	18202	18451
0	18202	18451
50	18851	19102
105	18851	19102
51	19484	19735
101	19484	19735
56	20214	20464
37	20214	20464
35	20870	21119
64	20870	21119
23	21533	21781
55	21533	21781
99	303	560
135	303	560
23	968	1219
211	968	1219
77	1619	1868
154	1619	1868
57	2258	2506
162	2258	2506
18	2897	3148
169	2897	3148
206	3544	3794
28	3544	3794
147	4247	4498
46	4247	4498
212	4901	5153
25	4901	5153
147	5540	5734
0	5540	5734
122	6161	6409
97	6161	6409
102	6814	7064
122	6814	7064
161	7461	7711
41	7461	7711
139	8105	8355
82	8105	8355
101	8784	9035
