time	a	b
269	338	618
0	338	618
85	1022	1272
118	1022	1272
97	1675	1926
104	1675	1926
154	2323	2572
56	2323	2572
95	2947	3196
78	2947	3196
41	3579	3830
188	3579	3830
30	4231	4480
194	4231	4480
51	4931	5181
83	4931	5181
0	5574	5823
235	5574	5823
49	6211	6406
83	6211	6406
152	6774	7023
82	6774	7023
13	7401	7652
111	7401	7652
220	8025	8274
11	8025	8274
73	8659	8908
153	8659	8908
215	9311	9560
0	9311	9560
9	9953	10202
37	9953	10202
0	10600	10849
212	10600	10849
48	11279	11528
173	11279	11528
32	11926	12174
100	11926	12174
27	12599	12848
208	12599	12848
188	13263	13512
35	13263	13512
10	13906	14155
219	13906	14155
15	14655	14903
220	14655	14903
45	15292	15541
183	15292	15541
103	15924	16175
121	15924	16175
215	16621	16870
18	16621	16870
236	17255	17506
0	17255	17506
148	17891	18139
55	17891	18139
218	18506	18754
21	18506	18754
137	19107	19356
96	19107	19356
0	542	796
243	542	796
48	1173	1422
179	1173	1422
0	1807	2058
237	1807	2058
0	2448	2697
234	2448	2697
105	3099	3349
129	3099	3349
89	3731	3987
150	3731	3987
44	4357	4607
163	4357	4607
129	4959	5208
84	4959	5208
2	5580	5829
215	5580	5829
6	6200	6455
229	6200	6455
123	6959	7209
109	6959	7209
0	7575	7824
231	7575	7824
0	8192	8441
216	8192	8441
113	8798	9048
87	8798	9048
103	9402	9652
126	9402	9652
174	10011	10262
56	10011	10262
91	10623	10873
132	10623	10873
0	11230	11481
235	11230	11481
0	11842	12091
217	11842	12091
56	12470	12725
171	12470	12725
113	13111	13360
120	13111	13360
0	13725	13974
235	13725	13974
205	14373	14623
24	14373	14623
0	14992	15106
89	14992	15106
115	15476	15726
114	15476	15726
153	16100	16348
62	16100	16348
0	16719	16835
87	16719	16835
44	17194	17443
185	17194	17443
0	17808	18057
233	17808	18057
108	18611	18860
100	18611	18860
105	361	611
72	361	611
146	1054	1305
0	1054	1305
90	1677	1928
53	1677	1928
7	2297	2546
135	2297	2546
0	2964	3215
215	2964	3215
16	3623	3873
209	3623	3873
146	4294	4545
56	4294	4545
100	4957	5205
22	4957	5205
0	5584	5834
165	5584	5834
56	6223	6407
14	6223	6407
19	6682	6931
114	6682	6931
216	7334	7583
0	7334	7583
53	7972	8223
97	7972	8223
62	8599	8854
156	8599	8854
37	9226	9481
160	9226	9481
75	9862	10111
128	9862	10111
3	10524	10772
4	10524	10772
133	11849	12101
86	11849	12101
123	12494	12745
113	12494	12745
91	13116	13366
101	13116	13366
90	13747	13998
136	13747	13998
34	14377	14626
197	14377	14626
4	15013	15262
221	15013	15262
164	15645	15894
65	15645	15894
92	16258	16509
119	16258	16509
40	16863	17113
176	16863	17113
85	17483	17733
141	17483	17733
15	18103	18353
222	18103	18353
128	18734	18983
85	18734	18983
106	19371	19620
130	19371	19620
90	307	557
142	307	557
9	964	1219
232	964	1219
66	1580	1831
161	1580	1831
72	2258	2519
165	2258	2519
0	2886	3135
237	2886	3135
72	3497	3747
151	3497	3747
48	4264	4513
177	4264	4513
35	4871	5121
197	4871	5121
68	5498	5747
161	5498	5747
44	6170	6366
125	6170	6366
165	6718	6967
69	6718	6967
39	7341	7591
191	7341	7591
0	7965	8216
243	7965	8216
173	8623	8872
47	8623	8872
75	9253	9504
151	9253	9504
51	9877	10129
171	9877	10129
89	10495	10751
137	10495	10751
61	11134	11384
174	11134	11384
0	11738	11988
239	11738	11988
21	12364	12614
213	12364	12614
0	12987	13236
243	12987	13236
0	13592	13842
237	13592	13842
0	14210	14459
241	14210	14459
137	14825	15075
96	14825	15075
162	15440	15691
69	15440	15691
