ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	PresentationSequence	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	SaccadicAmplitude	AbsoluteSaccadicDirection	RelativeSaccadicDirection	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight	
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter														10	13:05:13.721																			Unclassified	675						1																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter														26	13:05:13.738																			Unclassified	675						2																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter														43	13:05:13.754																			Unclassified	675						3																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter														60	13:05:13.771																			Unclassified	675						4																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter														76	13:05:13.788																			Unclassified	675						5																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter														93	13:05:13.804																			Unclassified	675						6																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter														110	13:05:13.821																			Unclassified	675						7																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter														126	13:05:13.837																			Unclassified	675						8																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter														143	13:05:13.854																			Unclassified	675						9																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter														160	13:05:13.871																			Unclassified	675						10																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter														176	13:05:13.887																			Unclassified	675						11																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter														193	13:05:13.904																			Unclassified	675						12																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter														210	13:05:13.921																			Unclassified	675						13																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter														226	13:05:13.937																			Unclassified	675						14																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter														243	13:05:13.954																			Unclassified	675						15																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter														260	13:05:13.971																			Unclassified	675						16																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter														276	13:05:13.987																			Unclassified	675						17																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter														293	13:05:14.004																			Unclassified	675						18																													4	4				
11/11/2020	2.2.9999.9999	OI_EYE	Box 1 - Rando 3	Id 26, C rando 3  box 1	Id 26, C rando 3  box 1	12/17/2018	131972	1280 x 1024		I-VT filter														310	13:05:14.021																			Unclassified	675						19																													4	4				
