time	a	b
29	310	560
29	310	560
0	956	1207
0	956	1207
1	1713	1960
1	1713	1960
24	2827	3077
24	2827	3077
167	3477	3732
167	3477	3732
156	4134	4382
156	4134	4382
80	4776	5025
80	4776	5025
152	5542	5792
152	5542	5792
36	6220	6470
36	6220	6470
150	6872	7120
150	6872	7120
171	7550	7800
171	7550	7800
158	8227	8477
158	8227	8477
179	9388	9638
179	9388	9638
239	10029	10277
239	10029	10277
215	10665	10915
215	10665	10915
117	11307	11562
117	11307	11562
137	11966	12216
137	11966	12216
165	12750	12999
165	12750	12999
157	13408	13658
157	13408	13658
107	14051	14300
107	14051	14300
152	14819	15069
152	14819	15069
136	15509	15758
136	15509	15758
170	16218	16468
170	16218	16468
83	16851	17101
83	16851	17101
191	17481	17732
191	17481	17732
110	18132	18382
110	18132	18382
0	19052	19303
0	19052	19303
28	19698	19893
28	19698	19893
144	20528	20778
144	20528	20778
153	21184	21432
153	21184	21432
159	296	544
159	296	544
233	942	1197
233	942	1197
28	1578	1829
28	1578	1829
217	2295	2544
217	2295	2544
218	2930	3181
218	2930	3181
167	3564	3815
167	3564	3815
42	4241	4489
42	4241	4489
0	5123	5380
0	5123	5380
0	5829	6086
0	5829	6086
0	6429	6685
0	6429	6685
149	7170	7417
149	7170	7417
0	7809	8063
0	7809	8063
230	9287	9537
230	9287	9537
170	10592	10840
170	10592	10840
52	11219	11332
52	11219	11332
0	12562	12813
0	12562	12813
138	13209	13458
138	13209	13458
0	13905	14154
0	13905	14154
140	14591	14840
140	14591	14840
70	15190	15446
70	15190	15446
84	15860	16109
84	15860	16109
38	16511	16765
38	16511	16765
0	17192	17442
0	17192	17442
47	17847	18096
47	17847	18096
133	18507	18757
133	18507	18757
0	19291	19542
0	19291	19542
90	20288	20539
90	20288	20539
0	21207	21458
0	21207	21458
204	22013	22262
204	22013	22262
0	22665	22921
0	22665	22921
76	409	660
76	409	660
53	1038	1289
53	1038	1289
155	1723	1973
155	1723	1973
193	2375	2624
193	2375	2624
64	3328	3578
64	3328	3578
169	4004	4254
169	4004	4254
33	4635	4883
33	4635	4883
76	5280	5529
76	5280	5529
114	6010	6260
114	6010	6260
164	6653	6903
164	6653	6903
207	7286	7535
207	7286	7535
107	8001	8250
107	8001	8250
13	8652	8903
13	8652	8903
11	9284	9533
11	9284	9533
33	9980	10231
33	9980	10231
0	10645	10895
0	10645	10895
75	11868	12117
75	11868	12117
34	12523	12773
34	12523	12773
29	13152	13402
29	13152	13402
79	14852	15102
79	14852	15102
66	15507	15757
66	15507	15757
183	16219	16469
183	16219	16469
127	17005	17190
127	17005	17190
137	17572	17822
137	17572	17822
0	18202	18451
0	18202	18451
158	18851	19102
158	18851	19102
152	19484	19735
152	19484	19735
93	20214	20464
93	20214	20464
99	20870	21119
99	20870	21119
78	21533	21781
78	21533	21781
234	303	560
234	303	560
234	968	1219
234	968	1219
231	1619	1868
231	1619	1868
219	2258	2506
219	2258	2506
187	2897	3148
187	2897	3148
234	3544	3794
234	3544	3794
193	4247	4498
193	4247	4498
237	4901	5153
237	4901	5153
147	5540	5734
147	5540	5734
219	6161	6409
219	6161	6409
224	6814	7064
224	6814	7064
202	7461	7711
202	7461	7711
221	8105	8355
221	8105	8355
166	8784	9035
166	8784	9035
220	9427	9678
220	9427	9678
155	10098	10349
155	10098	10349
209	10732	10982
209	10732	10982
210	11462	11712
210	11462	11712
173	12096	12347
173	12096	12347
187	12748	12998
187	12748	12998
157	13383	13657
157	13383	13657
221	14047	14297
221	14047	14297
212	14751	15001
212	14751	15001
192	15393	15643
192	15393	15643
222	16038	16288
222	16038	16288
230	16727	16978
230	16727	16978
212	17369	17620
212	17369	17620
210	18039	18289
210	18039	18289
225	18673	18924
225	18673	18924
219	19318	19573
219	19318	19573
142	348	599
142	348	599
193	1009	1260
193	1009	1260
217	1656	1904
217	1656	1904
159	2295	2545
159	2295	2545
183	2971	3221
183	2971	3221
177	3616	3867
177	3616	3867
199	4269	4519
199	4269	4519
179	5244	5495
179	5244	5495
184	5909	6160
184	5909	6160
190	6513	6765
190	6513	6765
198	7163	7417
198	7163	7417
189	7853	8103
189	7853	8103
119	8513	8763
119	8513	8763
215	9170	9421
215	9170	9421
166	9907	10157
166	9907	10157
181	10768	11018
181	10768	11018
227	11406	11657
227	11406	11657
189	12027	12277
189	12027	12277
191	12670	12920
191	12670	12920
134	13311	13562
134	13311	13562
197	13960	14211
197	13960	14211
105	14584	14700
105	14584	14700
198	15151	15402
198	15151	15402
171	15805	16056
171	15805	16056
211	16476	16727
211	16476	16727
163	17157	17408
163	17157	17408
145	17849	18100
145	17849	18100
101	18491	18741
101	18491	18741
