time	a	b
269	338	618
269	338	618
203	1022	1272
203	1022	1272
201	1675	1926
201	1675	1926
210	2323	2572
210	2323	2572
173	2947	3196
173	2947	3196
234	3579	3830
234	3579	3830
224	4231	4480
224	4231	4480
134	4931	5181
134	4931	5181
235	5574	5823
235	5574	5823
132	6211	6406
132	6211	6406
234	6774	7023
234	6774	7023
129	7401	7652
129	7401	7652
237	8025	8274
237	8025	8274
227	8659	8908
227	8659	8908
215	9311	9560
215	9311	9560
46	9953	10202
46	9953	10202
212	10600	10849
212	10600	10849
221	11279	11528
221	11279	11528
132	11926	12174
132	11926	12174
235	12599	12848
235	12599	12848
224	13263	13512
224	13263	13512
233	13906	14155
233	13906	14155
235	14655	14903
235	14655	14903
228	15292	15541
228	15292	15541
224	15924	16175
224	15924	16175
233	16621	16870
233	16621	16870
236	17255	17506
236	17255	17506
203	17891	18139
203	17891	18139
239	18506	18754
239	18506	18754
233	19107	19356
233	19107	19356
243	542	796
243	542	796
227	1173	1422
227	1173	1422
237	1807	2058
237	1807	2058
234	2448	2697
234	2448	2697
234	3099	3349
234	3099	3349
239	3731	3987
239	3731	3987
207	4357	4607
207	4357	4607
213	4959	5208
213	4959	5208
217	5580	5829
217	5580	5829
241	6200	6455
241	6200	6455
232	6959	7209
232	6959	7209
231	7575	7824
231	7575	7824
216	8192	8441
216	8192	8441
200	8798	9048
200	8798	9048
232	9402	9652
232	9402	9652
230	10011	10262
230	10011	10262
223	10623	10873
223	10623	10873
235	11230	11481
235	11230	11481
217	11842	12091
217	11842	12091
227	12470	12725
227	12470	12725
233	13111	13360
233	13111	13360
235	13725	13974
235	13725	13974
229	14373	14623
229	14373	14623
89	14992	15106
89	14992	15106
229	15476	15726
229	15476	15726
215	16100	16348
215	16100	16348
87	16719	16835
87	16719	16835
229	17194	17443
229	17194	17443
233	17808	18057
233	17808	18057
208	18611	18860
208	18611	18860
177	361	611
177	361	611
146	1054	1305
146	1054	1305
143	1677	1928
143	1677	1928
142	2297	2546
142	2297	2546
215	2964	3215
215	2964	3215
225	3623	3873
225	3623	3873
