Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp
14	17:13:21.282	00:00:00.014	0	798,3129	1098,605	0,6220835	0,4424694	730,7301	3,317854	0	685,8916	1115,066	0,47096	0,435362	733,5479	3,07549	0	2	742	1107						No media	0	1280	1024	0	0	702	1205	217	0	Content		742	1107	14394	3325492978
31	17:13:21.299	00:00:00.031	1	732,3126	1211,801	0,6220075	0,4376527	730,7256	3,228807	0	719,1675	1259,321	0,4712477	0,4334221	733,5517	2,925671	0	2	726	1236						No media	0	1280	1024	0	0	702	1205	217	0	Content		726	1236	31021	3325509605
48	17:13:21.316	00:00:00.047	2	726,8395	1174,507	0,6221453	0,4376397	730,7256	3,2854	0	715,5612	1222,272	0,4712189	0,4333991	733,6492	2,956247	0	2	721	1198						No media	0	1280	1024	0	0	702	1205	217	0	Content		721	1198	47651	3325526235
64	17:13:21.332	00:00:00.064	3	738,4763	1200,448	0,6222423	0,4425144	730,7259	3,260691	0	690,197	1222,547	0,4712321	0,4358383	733,9786	3,018321	0	2	714	1211						No media	0	1280	1024	0	0	702	1205	217	0	Content		714	1211	64280	3325542864
81	17:13:21.349	00:00:00.081	4	736,4713	1203,125	0,6223602	0,4377167	730,7256	3,341654	0	668,4656	1230,871	0,47127	0,4334531	733,7953	3,100889	0	2	702	1217						No media	0	1280	1024	0	0	702	1205	217	0	Content		702	1217	81035	3325559619
98	17:13:21.366	00:00:00.097	5	-1280	-1024	-1	-1	-1	-1	4	659,1804	1203,752	0,4712943	0,4362694	733,7361	3,15492	0	2	659	1204						No media	0	1280	1024	0	0	702	1205	217	0	Content		659	1204	97665	3325576249
114	17:13:21.382	00:00:00.114	6	733,7542	1201,853	0,6230056	0,4159123	730,7242	3,343558	0	644,9877	1212,429	0,4716095	0,4225717	733,7399	3,160444	0	2	689	1207						No media	0	1280	1024	0	0	702	1205	217	0	Content		689	1207	114295	3325592879
131	17:13:21.399	00:00:00.130	7	735,4108	1207,796	0,6225958	0,4378688	730,7256	3,347843	0	686,3764	1219,486	0,4714212	0,4335594	733,7497	3,088915	0	2	711	1214						No media	0	1280	1024	0	0	702	1205	217	0	Content		711	1214	130924	3325609508
148	17:13:21.416	00:00:00.147	8	-1280	-1024	-1	-1	-1	-1	4	681,2643	1211,362	0,4715001	0,4363192	733,7972	3,215039	0	2	681	1211						No media	0	1280	1024	0	0	702	1205	217	0	Content		681	1211	147679	3325626263
164	17:13:21.432	00:00:00.164	9	-1280	-1024	-1	-1	-1	-1	4	673,1589	1196,521	0,4715933	0,4364404	733,7972	3,131613	0	2	673	1197						No media	0	1280	1024	0	0	702	1205	217	0	Content		673	1197	164309	3325642893
181	17:13:21.449	00:00:00.180	10	725,1393	1210,037	0,6227072	0,4380411	733,8003	3,389208	0	679,3375	1216,779	0,4716976	0,4336544	733,801	3,098563	0	2	702	1213						No media	0	1280	1024	0	0	702	1205	217	0	Content		702	1213	180938	3325659522
198	17:13:21.466	00:00:00.197	11	725,1393	1210,037	0,621807	0,4427754	745,4921	3,389208	0	679,1908	1195,345	0,4717947	0,4363936	733,785	3,193342	0	2	702	1203						No media	0	1280	1024	0	0	702	1205	217	0	Content		702	1203	197571	3325676155
214	17:13:21.482	00:00:00.214	12	738,238	1022,076	0,624214	0,4293658	745,4891	3,523165	0	632,1442	1075,088	0,4719903	0,4351149	733,837	3,203876	0	2	685	1049						No media	0	1280	1024	0	0	702	1205	217	0	Content		685	1049	214322	3325692906
231	17:13:21.499	00:00:00.230	13	684,3237	771,5303	0,628662	0,4379432	745,4867	3,573648	0	683,0099	815,7381	0,4758016	0,4320185	733,8408	3,178978	0	3	684	794						No media	0	1280	1024	0	0	522	267	316	0	Content		684	794	230952	3325709536
248	17:13:21.516	00:00:00.247	14	641,9323	569,4481	0,6250628	0,4390626	745,4921	3,458426	0	678,7121	628,9407	0,4693099	0,4241288	710,0001	2,96612	0	3	660	599						No media	0	1280	1024	0	0	522	267	316	0	Content		660	599	247582	3325726166
264	17:13:21.532	00:00:00.264	15	-1280	-1024	-1	-1	-1	-1	4	669,5793	514,4584	0,4692593	0,4307843	703,1743	2,902335	0	3	670	514						No media	0	1280	1024	0	0	522	267	316	0	Content		670	514	264212	3325742796
281	17:13:21.549	00:00:00.280	16	-1280	-1024	-1	-1	-1	-1	4	660,39	610,998	0,4693836	0,429917	703,1742	2,461361	0	3	660	611						No media	0	1280	1024	0	0	522	267	316	0	Content		660	611	280964	3325759548
298	17:13:21.566	00:00:00.297	17	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4	3	0	0						No media	0	1280	1024	0	0	522	267	316	0	Content		0	0	297593	3325776177
314	17:13:21.582	00:00:00.314	18	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4	3	0	0						No media	0	1280	1024	0	0	522	267	316	0	Content		0	0	314220	3325792804
331	17:13:21.599	00:00:00.330	19	-1280	-1024	-1	-1	-1	-1	4	568,8372	444,7791	0,4697198	0,4289715	703,1741	2,723275	0	3	569	445						No media	0	1280	1024	0	0	522	267	316	0	Content		569	445	330849	3325809433
348	17:13:21.616	00:00:00.347	20	-1280	-1024	-1	-1	-1	-1	4	567,5663	323,5229	0,473704	0,4316512	703,1782	2,942523	0	3	568	324						No media	0	1280	1024	0	0	522	267	316	0	Content		568	324	347603	3325826187
364	17:13:21.632	00:00:00.364	21	-1280	-1024	-1	-1	-1	-1	4	577,6444	308,757	0,4730612	0,4293867	728,3259	2,94487	0	3	578	309						No media	0	1280	1024	0	0	522	267	316	0	Content		578	309	364232	3325842816
381	17:13:21.649	00:00:00.380	22	523,3643	286,1115	0,620857	0,4370938	703,1824	3,288773	0	519,9022	301,0992	0,4704356	0,4295738	703,174	3,013399	0	3	522	294						No media	0	1280	1024	0	0	522	267	316	0	Content		522	294	380859	3325859443
397	17:13:21.665	00:00:00.397	23	516,2369	279,7063	0,624367	0,3974454	703,1811	3,636795	0	520,1464	255,0236	0,4704041	0,4296312	703,1824	3,071364	0	3	518	267						No media	0	1280	1024	0	0	522	267	316	0	Content		518	267	397486	3325876070
414	17:13:21.682	00:00:00.414	24	514,2402	177,2814	0,6262916	0,4372309	737,6916	3,501366	0	490,6569	228,8367	0,4743921	0,4296754	737,6832	3,244425	0	3	502	203						No media	0	1280	1024	0	0	522	267	316	0	Content		502	203	414115	3325892699
431	17:13:21.699	00:00:00.430	25	503,4457	125,7901	0,6280422	0,437261	749,2382	3,762833	0	480,9899	202,6498	0,4747293	0,4296223	739,3232	3,318143	0	3	492	164						No media	0	1280	1024	0	0	522	267	316	0	Content		492	164	430870	3325909454
448	17:13:21.716	00:00:00.447	26	499,5532	130,3019	0,6281043	0,4373737	749,2382	3,512664	0	507,9442	162,0734	0,4747715	0,4297204	739,3147	3,144831	0	3	504	146						No media	0	1280	1024	0	0	522	267	316	0	Content		504	146	447500	3325926084
464	17:13:21.732	00:00:00.464	27	484,4809	155,3099	0,628168	0,4374648	749,2382	3,59152	0	499,9321	163,7793	0,4748254	0,4297043	739,3147	3,187807	0	3	492	160						No media	0	1280	1024	0	0	522	267	316	0	Content		492	160	464127	3325942711
481	17:13:21.749	00:00:00.480	28	476,2785	137,2088	0,6293377	0,4374083	756,7183	3,605303	0	502,6101	165,4853	0,4738665	0,429684	729,8177	3,17662	0	3	489	151						No media	0	1280	1024	0	0	522	267	316	0	Content		489	151	480765	3325959349
498	17:13:21.766	00:00:00.497	29	494,4707	141,0651	0,6293197	0,4375083	756,7183	3,596117	0	533,7047	190,0026	0,4744311	0,4483835	729,8135	3,160198	0	3	514	166						No media	0	1280	1024	0	0	522	267	316	0	Content		514	166	497520	3325976104
514	17:13:21.782	00:00:00.514	30	497,2924	125,2277	0,6266114	0,4348145	756,7164	3,736218	0	501,7555	233,1308	0,4743629	0,4297811	734,3021	3,205316	0	3	500	179						No media	0	1280	1024	0	0	522	267	316	0	Content		500	179	514143	3325992727
531	17:13:21.799	00:00:00.530	31	481,6976	142,5231	0,6293017	0,4375585	755,7933	3,586841	0	504,5162	231,1985	0,4739737	0,4298151	730,5576	3,205959	0	3	493	187						No media	0	1280	1024	0	0	522	267	316	0	Content		493	187	530771	3326009355
