time	a	b
43	310	560
0	310	560
0	956	1207
0	956	1207
0	1713	1960
14	1713	1960
29	2827	3077
0	2827	3077
154	3477	3732
39	3477	3732
99	4134	4382
90	4134	4382
90	4776	5025
0	4776	5025
146	5542	5792
40	5542	5792
50	6220	6470
18	6220	6470
22	6872	7120
166	6872	7120
128	7550	7800
65	7550	7800
173	8227	8477
0	8227	8477
13	9388	9638
180	9388	9638
0	10029	10277
245	10029	10277
158	10665	10915
76	10665	10915
94	11307	11562
46	11307	11562
62	11966	12216
115	11966	12216
90	12750	12999
94	12750	12999
75	13408	13658
106	13408	13658
106	14051	14300
19	14051	14300
76	14819	15069
102	14819	15069
69	15509	15758
82	15509	15758
123	16218	16468
59	16218	16468
50	16851	17101
67	16851	17101
22	17481	17732
195	17481	17732
23	18132	18382
106	18132	18382
2	19052	19303
0	19052	19303
33	19698	19893
0	19698	19893
149	20528	20778
32	20528	20778
35	21184	21432
157	21184	21432
100	296	544
80	296	544
245	942	1197
0	942	1197
2	1578	1829
24	1578	1829
67	2295	2544
176	2295	2544
213	2930	3181
31	2930	3181
213	3564	3815
0	3564	3815
26	4241	4489
24	4241	4489
0	5123	5380
0	5123	5380
0	5829	6086
0	5829	6086
0	6429	6685
0	6429	6685
10	7170	7417
153	7170	7417
0	7809	8063
0	7809	8063
163	9287	9537
78	9287	9537
16	10592	10840
166	10592	10840
44	11219	11332
17	11219	11332
0	12562	12813
0	12562	12813
46	13209	13458
106	13209	13458
0	13905	14154
0	13905	14154
148	14591	14840
10	14591	14840
60	15190	15446
22	15190	15446
16	15860	16109
80	15860	16109
48	16511	16765
0	16511	16765
0	17192	17442
0	17192	17442
117	17847	18096
34	17847	18096
108	18507	18757
114	18507	18757
0	19291	19542
0	19291	19542
69	20288	20539
44	20288	20539
0	21207	21458
0	21207	21458
222	22013	22262
1	22013	22262
0	22665	22921
2	22665	22921
33	409	660
55	409	660
29	1038	1289
52	1038	1289
4	1723	1973
164	1723	1973
187	2375	2624
29	2375	2624
56	3328	3578
34	3328	3578
23	4004	4254
164	4004	4254
0	4635	4883
49	4635	4883
83	5280	5529
12	5280	5529
100	6010	6260
37	6010	6260
175	6653	6903
0	6653	6903
18	7286	7535
202	7286	7535
11	8001	8250
116	8001	8250
16	8652	8903
7	8652	8903
24	9284	9533
0	9284	9533
0	9980	10231
40	9980	10231
0	10645	10895
0	10645	10895
91	11868	12117
0	11868	12117
32	12523	12773
26	12523	12773
46	13152	13402
0	13152	13402
46	14852	15102
41	14852	15102
0	15507	15757
71	15507	15757
79	16219	16469
133	16219	16469
123	17005	17190
20	17005	17190
88	17572	17822
90	17572	17822
7	18202	18451
17	18202	18451
63	18851	19102
116	18851	19102
65	19484	19735
121	19484	19735
76	20214	20464
66	20214	20464
48	20870	21119
92	20870	21119
39	21533	21781
67	21533	21781
108	303	560
141	303	560
27	968	1219
223	968	1219
83	1619	1868
164	1619	1868
64	2258	2506
174	2258	2506
31	2897	3148
176	2897	3148
217	3544	3794
32	3544	3794
164	4247	4498
52	4247	4498
222	4901	5153
26	4901	5153
158	5540	5734
