time	a	b
43	310	560
43	310	560
0	956	1207
0	956	1207
15	1713	1960
15	1713	1960
29	2827	3077
29	2827	3077
193	3477	3732
193	3477	3732
189	4134	4382
189	4134	4382
90	4776	5025
90	4776	5025
186	5542	5792
186	5542	5792
68	6220	6470
68	6220	6470
188	6872	7120
188	6872	7120
193	7550	7800
193	7550	7800
174	8227	8477
174	8227	8477
193	9388	9638
193	9388	9638
245	10029	10277
245	10029	10277
235	10665	10915
235	10665	10915
140	11307	11562
140	11307	11562
177	11966	12216
177	11966	12216
184	12750	12999
184	12750	12999
181	13408	13658
181	13408	13658
125	14051	14300
125	14051	14300
178	14819	15069
178	14819	15069
151	15509	15758
151	15509	15758
183	16218	16468
183	16218	16468
117	16851	17101
117	16851	17101
217	17481	17732
217	17481	17732
130	18132	18382
130	18132	18382
2	19052	19303
2	19052	19303
33	19698	19893
33	19698	19893
181	20528	20778
181	20528	20778
192	21184	21432
192	21184	21432
180	296	544
180	296	544
245	942	1197
245	942	1197
36	1578	1829
36	1578	1829
243	2295	2544
243	2295	2544
244	2930	3181
244	2930	3181
213	3564	3815
213	3564	3815
52	4241	4489
52	4241	4489
0	5123	5380
0	5123	5380
0	5829	6086
0	5829	6086
0	6429	6685
0	6429	6685
163	7170	7417
163	7170	7417
0	7809	8063
0	7809	8063
241	9287	9537
241	9287	9537
183	10592	10840
183	10592	10840
63	11219	11332
63	11219	11332
0	12562	12813
0	12562	12813
153	13209	13458
153	13209	13458
0	13905	14154
0	13905	14154
179	14591	14840
179	14591	14840
82	15190	15446
82	15190	15446
96	15860	16109
96	15860	16109
48	16511	16765
48	16511	16765
0	17192	17442
0	17192	17442
153	17847	18096
153	17847	18096
222	18507	18757
222	18507	18757
0	19291	19542
0	19291	19542
113	20288	20539
113	20288	20539
0	21207	21458
0	21207	21458
223	22013	22262
223	22013	22262
2	22665	22921
2	22665	22921
89	409	660
89	409	660
81	1038	1289
81	1038	1289
168	1723	1973
168	1723	1973
216	2375	2624
216	2375	2624
90	3328	3578
90	3328	3578
190	4004	4254
190	4004	4254
49	4635	4883
49	4635	4883
99	5280	5529
99	5280	5529
137	6010	6260
137	6010	6260
175	6653	6903
175	6653	6903
221	7286	7535
221	7286	7535
127	8001	8250
127	8001	8250
24	8652	8903
24	8652	8903
24	9284	9533
24	9284	9533
40	9980	10231
40	9980	10231
0	10645	10895
0	10645	10895
91	11868	12117
91	11868	12117
59	12523	12773
59	12523	12773
46	13152	13402
46	13152	13402
87	14852	15102
87	14852	15102
72	15507	15757
72	15507	15757
212	16219	16469
212	16219	16469
143	17005	17190
143	17005	17190
178	17572	17822
178	17572	17822
27	18202	18451
27	18202	18451
180	18851	19102
180	18851	19102
186	19484	19735
186	19484	19735
142	20214	20464
142	20214	20464
140	20870	21119
140	20870	21119
106	21533	21781
106	21533	21781
249	303	560
249	303	560
250	968	1219
250	968	1219
248	1619	1868
248	1619	1868
238	2258	2506
238	2258	2506
208	2897	3148
