file	box
3_Child_1.1	box1.1
3_Child_2.1	box2.1
3_Child_3.1	box3.1
3_Parent_1.1	box1.1
3_Parent_2.1	box2.1
3_Parent_3.1	box3.1
4_Child_1.1	box1.1
4_Child_2.1	box2.1
4_Child_3.1	box3.1
4_Parent_1.1	box1.1
4_Parent_2.1	box2.1
4_Parent_3.1	box3.1
5_Child_1.3	box1.3
5_Child_2.3	box2.3
5_Child_3.3	box3.3
5_Parent_1.3	box1.3
5_Parent_2.3	box2.3
5_Parent_3.3	box3.3
6_Child_1.2	box1.2
6_Child_2.2	box2.2
6_Child_3.2	box3.2
6_Parent_1.3	box1.3
6_Parent_2.3	box2.3
6_Parent_3.3	box3.3
7_Child_1.2	box1.2
7_Child_2.2	box2.2
7_Child_3.2	box3.2
7_Parent_1.2	box1.2
7_Parent_2.2	box2.2
7_Parent_3.2	box3.2
9_Child_1.1	box1.1
9_Child_2.1	box2.1
9_Child_3.1	box3.1
9_Parent_1.1	box1.1
9_Parent_2.1	box2.1
9_Parent_3.1	box3.1
10_Child_1.2	box1.2
10_Child_2.2	box2.2
10_Child_3.2	box3.2
10_Parent_1.2	box1.2
10_Parent_2.2	box2.2
10_Parent_3.2	box3.2
11_Child_1.3	box1.3
11_Child_2.3	box2.3
11_Child_3.3	box3.3
11_Parent_1.3	box1.3
11_Parent_2.3	box2.3
11_Parent_3.3	box3.3
13_Child_1.1	box1.1
13_Child_2.1	box2.1
13_Child_3.1	box3.1
13_Parent_1.1	box1.1
13_Parent_2.1	box2.1
13_Parent_3.1	box3.1
14_Child_1.3	box1.3
14_Child_2.3	box2.3
14_Child_3.3	box3.3
14_Parent_1.3	box1.3
14_Parent_2.3	box2.3
14_Parent_3.3	box3.3
15_Child_1.2	box1.2
15_Child_2.2	box2.2
15_Child_3.2	box3.2
15_Parent_1.2	box1.2
15_Parent_2.2	box2.2
15_Parent_3.2	box3.2
16_Child_1.1	box1.1
16_Child_2.1	box2.1
16_Child_3.1	box3.1
16_Parent_1.1	box1.1
16_Parent_2.1	box2.1
16_Parent_3.1	box3.1
20_Child_1.1	box1.1
20_Child_2.1	box2.1
20_Child_3.1	box3.1
20_Parent_1.1	box1.1
20_Parent_2.1	box2.1
20_Parent_3.1	box3.1
21_Child_1.2	box1.2
21_Child_2.2	box2.2
21_Child_3.2	box3.2
21_Parent_1.3	box1.3
21_Parent_2.3	box2.3
21_Parent_3.3	box3.3
22_Child_1.2	box1.2
22_Child_2.2	box2.2
22_Child_3.2	box3.2
22_Parent_1.2	box1.2
22_Parent_2.2	box2.2
22_Parent_3.2	box3.2
23_Child_1.1	box1.1
23_Child_2.1	box2.1
23_Child_3.1	box3.1
23_Parent_1.1	box1.1
23_Parent_2.1	box2.1
23_Parent_3.1	box3.1
24_Child_1.3	box1.3
24_Child_2.3	box2.3
24_Child_3.3	box3.3
24_Parent_1.3	box1.3
24_Parent_2.3	box2.3
24_Parent_3.3	box3.3
25_Child_1.2	box1.2
25_Child_2.2	box2.2
25_Child_3.2	box3.2
25_Parent_1.2	box1.2
25_Parent_2.2	box2.2
25_Parent_3.2	box3.2
26_Child_1.3	box1.3
26_Child_2.3	box2.3
26_Child_3.3	box3.3
26_Parent_1.3	box1.3
26_Parent_2.3	box2.3
26_Parent_3.3	box3.3
